Tijd,Versnelling 1,Versnelling 2
0.0002622052441048821,1.8257526612784335e-11,0.0
0.0002628052561051221,1.8372638715266945e-11,0.0
0.0002634052681053621,1.8488463277337045e-11,0.0
0.00026400528010560206,1.860500462285171e-11,0.0
0.00026460529210584207,1.8722267101699085e-11,0.0
0.0002652053041060821,1.8840255090073883e-11,0.0
0.0002658053161063221,1.895897298935784e-11,0.0
0.0002664053281065621,1.9078425227389274e-11,0.0
0.0002670053401068021,1.9198616258303976e-11,0.0
0.00026760535210704206,1.9319550563382983e-11,0.0
0.00026820536410728207,1.9441232648278946e-11,0.0
0.00026880537610752213,1.9563667049003393e-11,0.0
0.00026940538810776214,1.968685832596822e-11,0.0
0.0002700054001080021,1.9810811066461125e-11,0.0
0.00027060541210824216,1.9935529885221358e-11,0.0
0.00027120542410848217,2.006101942784556e-11,0.0
0.0002718054361087222,2.018728436110868e-11,0.0
0.0002724054481089622,2.0314329385167408e-11,0.0
0.00027300546010920214,2.0442159225121768e-11,0.0
0.0002736054721094421,2.0570778634528438e-11,0.0
0.00027420548410968216,2.0700192395512585e-11,0.0
0.00027480549610992217,2.0830405320052637e-11,0.0
0.0002754055081101622,2.0961422244868772e-11,0.0
0.0002760055201104022,2.109324803895164e-11,0.0
0.0002766055321106422,2.1225887598168614e-11,0.0
0.0002772055441108822,2.1359345848757594e-11,0.0
0.0002778055561111222,2.1493627744975608e-11,0.0
0.0002784055681113622,2.162873827103673e-11,0.0
0.00027900558011160223,2.17646824405783e-11,0.0
0.00027960559211184224,2.190146529679307e-11,0.0
0.00028020560411208225,2.2039091913501334e-11,0.0
0.0002808056161123222,2.2177567393781708e-11,0.0
0.0002814056281125622,2.2316896869825e-11,0.0
0.0002820056401128022,2.2457085508003525e-11,0.0
0.00028260565211304223,2.2598138500831145e-11,0.0
0.00028320566411328224,2.274006107435753e-11,0.0
0.00028380567611352225,2.2882858484888504e-11,0.0
0.00028440568811376226,2.3026536019226648e-11,0.0
0.00028500570011400227,2.3171098996402143e-11,0.0
0.0002856057121142423,2.331655276620883e-11,0.0
0.0002862057241144823,2.346290271060241e-11,0.0
0.0002868057361147223,2.3610154242966842e-11,0.0
0.0002874057481149623,2.3758312808853866e-11,0.0
0.00028800576011520226,2.39073838865045e-11,0.0
0.00028860577211544227,2.4057372985024542e-11,0.0
0.0002892057841156823,2.4208285648616644e-11,0.0
0.0002898057961159223,2.436012745178882e-11,0.0
0.0002904058081161623,2.451290400357965e-11,0.0
0.0002910058201164023,2.4666620945533396e-11,0.0
0.0002916058321166423,2.482128395229623e-11,0.0
0.0002922058441168823,2.4976898732685118e-11,0.0
0.0002928058561171224,2.5133471028806667e-11,0.0
0.00029340586811736234,2.529100661814144e-11,0.0
0.00029400588011760235,2.5449511308026084e-11,0.0
0.0002946058921178424,2.5608990945659644e-11,0.0
0.0002952059041180824,2.5769451410323326e-11,0.0
0.0002958059161183223,2.5930898614407786e-11,0.0
0.0002964059281185624,2.609333850544936e-11,0.0
0.00029700594011880234,2.6256777072221394e-11,0.0
0.00029760595211904235,2.642122032824299e-11,0.0
0.0002982059641192824,2.658667433172165e-11,0.0
0.0002988059761195224,2.675314517316781e-11,0.0
0.0002994059881197624,2.692063897700264e-11,0.0
0.0003000060001200024,2.7089161906131e-11,0.0
0.0003006060121202424,2.7258720161253648e-11,0.0
0.0003012060241204824,2.7429319975635005e-11,0.0
0.0003018060361207224,2.760096762344814e-11,0.0
0.0003024060481209624,2.7773669411858917e-11,0.0
0.00030300606012120243,2.7947431688894065e-11,0.0
0.0003036060721214424,2.8122260838074957e-11,0.0
0.0003042060841216824,2.8298163278828934e-11,0.0
0.0003048060961219224,2.847514547358275e-11,0.0
0.0003054061081221624,2.8653213917598526e-11,0.0
0.0003060061201224024,2.8832375147325882e-11,0.0
0.00030660613212264243,2.901263573574322e-11,0.0
0.00030720614412288244,2.9194002297416855e-11,0.0
0.00030780615612312245,2.937648148229282e-11,0.0
0.00030840616812336246,2.9560079982708345e-11,0.0
0.00030900618012360246,2.974480452838341e-11,0.0
0.0003096061921238425,2.9930661889225e-11,0.0
0.0003102062041240825,3.011765887472836e-11,0.0
0.0003108062161243225,3.0305802336249394e-11,0.0
0.00031140622812456245,3.04950991620779e-11,0.0
0.00031200624012480246,3.068555628345841e-11,0.0
0.00031260625212504246,3.0877180672908586e-11,0.0
0.0003132062641252825,3.10699793420539e-11,0.0
0.0003138062761255225,3.126395934488817e-11,0.0
0.0003144062881257625,3.1459127776305496e-11,0.0
0.0003150063001260025,3.165549177386339e-11,0.0
0.00031560631212624245,3.185305851635711e-11,0.0
0.00031620632412648246,3.20518352234267e-11,0.0
0.0003168063361267225,3.225182916095087e-11,0.0
0.00031740634812696254,3.245304763489894e-11,0.0
0.00031800636012720255,3.2655497992421054e-11,0.0
0.0003186063721274425,3.285918762796735e-11,0.0
0.00031920638412768245,3.30641239753849e-11,0.0
0.00031980639612792246,3.327031451590793e-11,0.0
0.0003204064081281625,3.347776677219599e-11,0.0
0.00032100642012840254,3.368648831293755e-11,0.0
0.00032160643212864254,3.389648674799482e-11,0.0
0.0003222064441288825,3.4107769735773624e-11,0.0
0.00032280645612912256,3.432034497536508e-11,0.0
